"","X","Y","EGFR","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP41_83_X14Y2_21",199.739837398374,33.9593495934959,0.0195340631388117,0.0377586513112637,0.525149890341712,0.86885742389822,0.0108189068506604,0,0.712109392810367,0,0.0310675215849075,0.153416429715692,0.0279227233708428,0.0279227233708428,0.0139570896835672,0.00140114807945419,0.0142700980501883,0.00946585214265945,0.058443809869356,0.058443809869356,0.00739399956243451,0.0878480195493367,0.00629826028363445,0.00787542552293268,0.00484323011523074,0,0,0.046882014812092,0.00645558479141375,0.728419151800226,0,0.00401106181708311,0.000265270913168798,0.0210956925755775,0.0039558691864542,3.24543767100327e-05,0.00563643353529206,0.0391422414397556,0.0324613064594664,0.00374448903600337
"BaselTMA_SP41_83_X14Y2_22",335,34.8095238095238,0.0861132878286447,0.050115196575836,0.326618853579557,0.548521556499103,0.0383305061496237,0.00220970464048325,0.799285679506139,0,0.0305154590053443,0.764774552242508,0.0575133385864317,0.0575133385864317,0.0432845115073071,0.00957713499578624,0.0186299962460048,0.00844599968611296,0.0464880212254977,0.0464880212254977,0.011779441281202,0.839677097863621,0.000744599033405861,0.0121658650978212,0.00261555705817575,0.0183916473181405,0.0183916473181405,0.046224808059143,0.00900505187820291,2.29529627613178,0.0146572263536979,0.00333104847725456,0,0.0426076253953856,0,0,0.00573197575994019,0.0746220715821651,0.090424958448181,0.015627770205543
"BaselTMA_SP41_83_X14Y2_23",99.8865979381443,34.8556701030928,0.136436623965763,0.474844588808173,0.52274339623066,0.86306087583769,0.0119610459975352,0.0440320055381921,1.6281984156935,0.0130585791112972,1.75906776951151,0.257623655558873,0.123425722673198,0.123425722673198,0.27282849503771,0.010596828408493,0.688670295131986,0.105418652555862,0.175357946214333,0.175357946214333,0.0496290456515829,0.3470362662026,0.0395259661655135,0.0241130551609824,0.00177294858301105,0.0228713366199347,0.0228713366199347,0.108385612554911,0.0196182211659712,2.55248186690228,0.0160763360449466,0.00991944173710824,0.0138983696601139,0.0761701171813614,0.108322750040771,0.00119742130054907,0.0418686768508521,0.0582875800068695,0.124781970201614,0.0455659765869815
"BaselTMA_SP41_83_X14Y2_24",342.4625,36.9875,0.0664113673332276,0.0667712576257099,0.406665609333053,0.769295134283072,0.0115067507564331,0.00897651923118411,1.0223538960483,0.00554976949593563,0.0427325215258076,0.583120933814578,0.0879260688641963,0.0879260688641963,0.0621678963956249,0.0116337155709479,0.0102698058454906,0,0.0981103530841399,0.0981103530841399,0.0129647266864875,1.07372206282392,0.00320411857492696,0.00798877351731296,0.0102614998301159,0.00524308517284059,0.00524308517284059,0.0715489419158823,0.0142879593352743,1.82333558050442,0.0120502768273031,0.0018857742985333,0.00188490717415854,0.04269172798325,0.0040349944766954,0.00725796611180791,0.0228237766513339,0.0355267476068587,0.070327038434053,0.0256613726369396
"BaselTMA_SP41_83_X14Y2_25",131.289855072464,38.2463768115942,0.179912436914081,0.753111332185039,0.524057727642175,1.03248999553024,0.0287590900946368,0.0136287952416154,1.51599694306284,0,1.78998439744878,0.326743435422117,0.216801398384056,0.216801398384056,0.681339475008358,0.0205178577016987,1.68917198375887,0.374547274478877,0.179533962004432,0.179533962004432,0.075484707974839,0.222145340938801,0.0433032711034312,0.0416154328129279,0.00212055365330709,0.0178020230690117,0.0178020230690117,0.319722075992551,0.427919969086998,2.02576656038538,0.0146714121285122,0.0523193017485018,0.000343220260203234,0.132703106915364,0.114147760195366,0.185711049750758,0.0385366463117646,0.0386940002887801,0.18032768589805,0.0213617182423247
"BaselTMA_SP41_83_X14Y2_26",265.413043478261,32.4673913043478,0.222472731103559,1.00191840068808,1.26867650091468,1.86909631741743,0.0105559768589475,0.0388581804032547,0.759684655903791,0.0162278363082295,1.597818782918,0.189340690397194,0.172597298816011,0.172597298816011,0.566671205181806,0,1.49257198236491,0.269348911495305,0.182407795225882,0.182407795225882,0.0749921488155314,0.13027044620786,0.0229787516750015,0.0698003787135319,0.00596542987268588,0.0165869573775406,0.0165869573775406,0.26647635575121,0.327940059218621,1.9733255400459,0.00838363199797229,0.0406179068230419,0.011385356332028,0.105541765562896,0.0777532538633875,0.151621472204377,0.0220739128885382,0.215583967913918,0.14903832563588,0.0185539561625072
"BaselTMA_SP41_83_X14Y2_27",274.944099378882,36.583850931677,0.175627199250411,1.03605100358141,1.48083988398179,2.00618419869368,0.00905222253755426,0.0703552075683103,1.30176297804914,0,1.9159908315859,0.185735911416189,0.201937631981889,0.201937631981889,0.634436350247207,0.00481587422081444,1.6677111599204,0.378868433357586,0.183248555822976,0.183248555822976,0.0601093161517573,0.131472361088876,0.0730234722910094,0.044634937546198,0,0.0204388917629846,0.0204388917629846,0.310281729428534,0.274632297978743,1.90657100184139,0.0131253851936378,0.0624890315939275,0.012380829663776,0.161081882423581,0.228586583311162,0.14995234604095,0.036255831475866,0.167050545702933,0.178086328957276,0.040722819096541
"BaselTMA_SP41_83_X14Y2_28",297.007633587786,35.9083969465649,0.22324696919654,1.04775387546026,1.15981379537082,1.73816437459505,0.0140037580676451,0.0349386706760355,1.38468723073394,0.0154428834033146,2.43483113818058,0.501323047108957,0.178055571627774,0.178055571627774,0.688253381312782,0.0155863040769473,1.31067897989328,0.297171514072596,0.293578049399363,0.293578049399363,0.0752429928823798,0.257940033407432,0.0783362963008364,0.0338627853733717,0,0.0110528916671021,0.0110528916671021,0.242635146676632,0.13008309104716,2.55441263417825,0.048289683821211,0.153596725314859,0.00345689401414375,0.144961930624842,0.270889260912779,0.141966863972475,0.0651214821264871,0.151972446600817,0.22428430205041,0.0450462528783992
"BaselTMA_SP41_83_X14Y2_29",111.811594202899,36.6521739130435,0.179936508035857,0.785439531169856,1.27816724288169,1.85244647788572,0.0284652943946522,0.0371173915385189,1.78841204346173,0.0430929745105519,2.46367903610092,0.371633599803801,0.142081323621021,0.142081323621021,0.470568837721671,0.00672934640772946,0.162383728383003,0.105762394415621,0.143325498611018,0.143325498611018,0.105610615569515,0.328917194308658,0.0791797263711134,0.038097582715492,0,0.00852816836304416,0.00852816836304416,0.239934747685465,0.0428894050502872,2.47405404272032,0.0374486619353171,0.114158032813009,0.0174832573812383,0.0891802132216969,0.0888045780687597,0.00883154473443976,0.0291688185081161,0.102250741004686,0.184079462006982,0.0229382701207867
"BaselTMA_SP41_83_X14Y2_30",256.571428571429,38,0.224977134943906,0.894067098562858,1.37937163326718,1.91740461276029,0.0122834530346043,0.0736858163673899,0.853885194600442,0.0018913470038433,1.88074269913565,0.437403585126323,0.139969308293412,0.139969308293412,0.646232602421083,0.00993192878719738,0.388893369058076,0.152419493579342,0.165018569857953,0.165018569857953,0.0602114201729412,0.223021139655991,0.0554283487143037,0.029158746367296,0.00541375843593472,0.0118922447467829,0.0118922447467829,0.185615841516291,0.122883169838325,2.23790085235019,0.0306559393779702,0.0750254329790445,0.00752002915855597,0.080366928699618,0.0850590835718919,0.0106553594668054,0.0599072724875406,0.327908529940898,0.128099140523211,0.0334345452478723
